001|Tuoi tre dang gia bao nhieu|Rosie Nguyen|cong nghe|1995|64|Con|
002|Cau truc du lieu|Le Van C|NXB Khoa hoc|2021|5|Con|
003|Giai thuat can ban|Tran Thi B|NXB DH Quoc gia|2018|18|Con|
005|kkk|Le Van C|NXB Cong nghe|2020|132|Con|
006|Khoa hoc du lieu|Nguyen Van A|NXB Giao duc|2019|40|Con|
007|Lap trinh huong doi tuong|Le Van C|NXB Cong nghe|2019|195|Con|
008|Mang may tinh|Tran Thi B|NXB DH Quoc gia|2019|39|Con|
009|Co so du lieu|Pham Thi D|NXB Khoa hoc|2019|18|Con|
010|An toan thong tin|Nguyen Van A|NXB Giao duc|2024|48|Con|
013|Toan roi rac|Le Van C|NXB Giao duc|2021|56|Con|
014|He dieu hanh|Ngo Van E|NXB Thong ke|2018|4|Con|
015|Lap trinh Java|Ngo Van E|NXB Cong nghe|2023|10|Con|
017|Thiet ke thuat toan|Le Van C|NXB Thong ke|2022|143|Con|
018|Xu ly ngon ngu tu nhien|Le Van C|NXB Khoa hoc|2021|90|Con|
019|Thuc tap AI|Ngo Van E|NXB Cong nghe|2020|7|Con|
020|Du an cuoi khoa|Ngo Van E|NXB Thong ke|2019|72|Con|
